horario_inicial	Mulheres ciclistas	Homens ciclistas	Mulheres pedestres	Homens pedestres
06:00	0	29	92	94
06:15	0	347	151	183
06:30	9	77	157	162
06:45	12	68	159	162
07:00	6	74	152	163
07:15	5	52	152	162
07:30	4	66	145	158
07:45	3	46	105	142
08:00	3	46	85	122
08:15	3	40	88	133
08:30	4	38	73	110
08:45	5	35	49	76
09:00	2	31	57	89
09:15	1	24	30	73
09:30	1	30	38	91
09:45	2	33	41	69
10:00	3	24	36	64
10:15	0	15	27	53
10:30	1	22	30	69
10:45	1	21	41	66
11:00	0	48	49	115
11:15	0	23	26	49
11:30	0	21	62	71
11:45	0	25	42	72
12:00	0	29	36	75
12:15	0	24	24	72
12:30	0	24	25	70
12:45	0	37	47	59
13:00	1	28	37	81
13:15	0	31	68	93
13:30	0	23	45	68
13:45	0	29	27	62
14:00	0	27	32	72
14:15	0	11	49	69
14:30	1	19	46	60
14:45	0	26	48	73
15:00	3	25	47	74
15:15	2	30	55	68
15:30	3	26	53	100
15:45	4	26	90	121
16:00	5	43	108	199
16:15	13	62	114	191
16:30	8	66	122	176
16:45	15	103	184	240
17:00	10	83	224	332
17:15	15	92	201	347
17:30	13	77	218	399
17:45	10	71	182	371
18:00	2	56	196	326
18:15	8	42	203	338
18:30	3	46	160	311
18:45	2	38	177	333
19:00	1	53	155	305
19:15	1	52	119	243
19:30	1	46	113	228
19:45	5	43	71	195
20:00	4	54	45	143
20:15	1	14	37	120
20:30	2	12	43	96
20:45	11	96	35	90
